trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
428,False,"{'a': 0.3, 'e': 0.013547628772652899}",25,18,14.149077804349044,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
429,False,"{'a': 0.3, 'e': 0.01341215248492637}",30,8,36.047594331830844,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
430,False,"{'a': 0.3, 'e': 0.013278030960077106}",20,10,17.499238388370156,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
431,False,"{'a': 0.3, 'e': 0.013145250650476335}",25,11,22.595187263431587,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
432,False,"{'a': 0.3, 'e': 0.01301379814397157}",25,5,34.09341101639651,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
433,False,"{'a': 0.3, 'e': 0.012883660162531854}",20,14,12.390467335366667,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
434,False,"{'a': 0.3, 'e': 0.012754823560906535}",20,9,0.7443829382202978,"{0: 10, 1: 0, 2: 0, 3: 1, 4: 0}",1
435,False,"{'a': 0.3, 'e': 0.01262727532529747}",20,7,23.491451536859163,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
436,False,"{'a': 0.3, 'e': 0.012501002572044496}",20,13,10.137241128360536,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
437,False,"{'a': 0.3, 'e': 0.01237599254632405}",20,10,16.041239887712337,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
438,False,"{'a': 0.3, 'e': 0.01225223262086081}",25,8,31.534318595389397,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
439,False,"{'a': 0.3, 'e': 0.012129710294652202}",20,11,18.46038328561827,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
440,False,"{'a': 0.3, 'e': 0.01200841319170568}",20,8,20.66710650413493,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
441,False,"{'a': 0.3, 'e': 0.011888329059788623}",20,10,18.296892494129022,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
442,False,"{'a': 0.3, 'e': 0.011769445769190737}",25,14,20.53352440591575,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
443,False,"{'a': 0.3, 'e': 0.01165175131149883}",30,19,22.55005735774578,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
444,False,"{'a': 0.3, 'e': 0.011535233798383842}",20,9,18.326419028900393,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
445,False,"{'a': 0.3, 'e': 0.011419881460400004}",25,18,13.629819934768829,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
446,False,"{'a': 0.3, 'e': 0.011305682645796004}",20,10,15.842673172597202,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
447,False,"{'a': 0.3, 'e': 0.011192625819338045}",25,11,22.129946447625564,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
448,False,"{'a': 0.3, 'e': 0.011080699561144665}",25,14,20.27564949652781,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
449,False,"{'a': 0.3, 'e': 0.010969892565533218}",20,8,21.81463896582276,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
450,False,"{'a': 0.3, 'e': 0.010860193639877886}",25,15,18.81747269097407,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
451,False,"{'a': 0.3, 'e': 0.010751591703479106}",20,12,16.649226738208842,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
452,False,"{'a': 0.3, 'e': 0.010644075786444315}",20,9,18.622715155222245,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
453,False,"{'a': 0.3, 'e': 0.010537635028579873}",25,12,26.003902177746234,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
454,False,"{'a': 0.3, 'e': 0.010432258678294073}",20,11,19.037362823823088,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
455,False,"{'a': 0.3, 'e': 0.010327936091511133}",30,22,13.893528837128887,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
456,False,"{'a': 0.3, 'e': 0.010224656730596022}",20,2,33.16890699489637,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
457,False,"{'a': 0.3, 'e': 0.01012241016329006}",20,13,11.89405474165717,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
458,False,"{'a': 0.3, 'e': 0.01002118606165716}",20,0,9.836243629384049,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
459,False,"{'a': 0.3, 'e': 0.009920974201040588}",25,15,18.30425669734965,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",20,8,19.27399462677693,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",20,9,21.070469774519534,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",35,17,33.553988035167194,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",20,10,19.23652648946336,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",20,8,24.674978654008783,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",25,20,11.079459614418667,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",20,8,21.5216326346362,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",20,3,29.555121225836373,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",25,14,19.7066479261208,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",25,20,10.753174415364521,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
